Primary,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,Licence area,Voltage level,Scenario name,Output parameter
GALE LANE,198,247,331,511,754,1033,1176,1259,1342,1425,1510,1593,1680,1820,2345,2887,3412,3915,4341,4709,5044,5517,6053,6591,7128,7664,8198,8732,9139,NPgN,Primary,NPg Best View,Number of heat pumps (total)
GARWOOD STREET,115,152,205,318,476,671,785,869,953,1038,1123,1207,1296,1462,2071,2682,3284,3879,4431,4942,5419,5979,6570,7161,7752,8341,8930,9517,9972,NPgN,Primary,NPg Best View,Number of heat pumps (total)
GATESHEAD CENTRAL,92,109,138,204,298,414,471,503,534,566,598,629,662,727,983,1246,1502,1747,1959,2145,2310,2535,2784,3033,3282,3531,3779,4026,4220,NPgN,Primary,NPg Best View,Number of heat pumps (total)
GATESHEAD EAST,5,7,10,17,26,37,44,49,54,59,64,69,74,84,126,166,207,247,285,320,353,392,431,471,511,550,590,629,661,NPgN,Primary,NPg Best View,Number of heat pumps (total)
GOSFORTH 33/11KV,149,170,204,294,417,558,632,673,713,754,795,836,879,936,1184,1450,1711,1961,2167,2342,2502,2730,2992,3256,3519,3781,4043,4304,4506,NPgN,Primary,NPg Best View,Number of heat pumps (total)
GRANGETOWN,99,144,212,344,522,736,852,934,1016,1099,1183,1265,1352,1515,2101,2685,3258,3817,4331,4802,5240,5779,6353,6929,7504,8079,8652,9225,9667,NPgN,Primary,NPg Best View,Number of heat pumps (total)
GREATHAM,62,63,70,95,130,170,191,201,210,219,228,237,246,257,323,400,475,546,602,648,690,752,825,899,972,1046,1119,1192,1250,NPgN,Primary,NPg Best View,Number of heat pumps (total)
GUISBOROUGH T1 T2,175,265,344,494,703,977,1147,1278,1411,1544,1677,1810,1947,2147,2782,3414,4032,4634,5188,5688,6132,6683,7275,7868,8461,9053,9645,10236,10697,NPgN,Primary,NPg Best View,Number of heat pumps (total)
GUISBOROUGH T3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NPgN,Primary,NPg Best View,Number of heat pumps (total)
HARLOW GREEN,262,318,411,632,944,1313,1489,1586,1681,1778,1876,1973,2074,2274,3020,3788,4534,5253,5866,6392,6863,7530,8278,9028,9777,10524,11270,12014,12580,NPgN,Primary,NPg Best View,Number of heat pumps (total)
HARMIRE BRIDGE,125,153,198,299,443,615,697,746,794,843,892,941,992,1091,1494,1904,2306,2697,3041,3346,3626,3997,4403,4810,5216,5623,6029,6435,6756,NPgN,Primary,NPg Best View,Number of heat pumps (total)
HARRATON,38,62,98,168,268,395,460,510,560,610,660,710,762,886,1357,1822,2283,2738,3171,3576,3956,4398,4857,5316,5775,6233,6691,7148,7500,NPgN,Primary,NPg Best View,Number of heat pumps (total)
HARROGATE 132/11KV,240,290,387,592,881,1236,1399,1477,1553,1629,1706,1782,1862,2074,2936,3813,4670,5487,6206,6844,7420,8190,9045,9904,10762,11620,12477,13332,14000,NPgN,Primary,NPg Best View,Number of heat pumps (total)
HARROGATE WEST,114,122,143,204,291,394,440,458,475,491,508,525,543,586,792,1014,1231,1437,1606,1751,1881,2068,2284,2501,2718,2935,3151,3367,3537,NPgN,Primary,NPg Best View,Number of heat pumps (total)
HARTMOOR 66/20KV,376,438,569,858,1243,1684,1903,2018,2131,2244,2359,2471,2588,2781,3583,4425,5244,6013,6650,7197,7695,8417,9247,10080,10913,11744,12574,13402,14040,NPgN,Primary,NPg Best View,Number of heat pumps (total)
HAWTHORN PIT,302,479,579,767,1029,1365,1577,1741,1905,2071,2238,2403,2575,2799,3465,4119,4752,5365,5919,6411,6838,7396,8006,8618,9229,9839,10448,11056,11528,NPgN,Primary,NPg Best View,Number of heat pumps (total)
