Primary,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,Licence area
FARADAY STREET,20.368,20.087,19.712,19.374,19.099,18.875,18.717,18.605,18.531,18.490,18.486,18.527,18.603,18.736,18.846,18.945,19.055,19.159,19.333,19.483,19.568,19.639,19.685,19.725,19.733,19.738,19.740,19.738,19.717,19.688,19.656,19.621,19.585,19.548,NPgN
FAWDON T1,9.999,9.855,9.798,9.766,9.779,9.836,9.978,10.162,10.359,10.583,10.844,11.157,11.505,11.948,12.350,12.725,13.107,13.469,13.939,14.361,14.667,14.942,15.171,15.378,15.528,15.667,15.797,15.916,16.003,16.071,16.132,16.185,16.232,16.277,NPgN
FISHBURN,19.518,19.153,18.986,18.891,18.908,19.024,19.301,19.681,20.149,20.670,21.267,21.962,22.724,23.608,24.414,25.173,25.945,26.684,27.614,28.457,29.096,29.688,30.192,30.657,31.020,31.349,31.639,31.908,31.998,32.045,32.079,32.099,32.109,32.114,NPgN
FLATWORTH CENTRAL,16.251,17.559,17.323,17.119,16.973,16.875,16.809,16.771,16.759,16.770,16.807,16.875,16.966,17.069,17.161,17.250,17.347,17.444,17.573,17.693,17.786,17.874,17.953,18.031,18.096,18.161,18.229,18.296,18.351,18.400,18.449,18.497,18.544,18.590,NPgN
FOSS ISLANDS,28.404,29.258,28.782,28.358,28.030,27.776,27.595,27.449,27.305,27.193,27.126,27.106,27.125,27.214,27.280,27.340,27.411,27.480,27.623,27.746,27.806,27.855,27.882,27.902,27.891,27.886,27.890,27.890,27.881,27.864,27.845,27.824,27.800,27.776,NPgN
FOSSWAY 33/11KV,18.227,17.965,17.865,17.809,17.829,17.944,18.254,18.689,19.211,19.790,20.463,21.269,22.162,23.308,24.350,25.323,26.310,27.248,28.465,29.555,30.338,31.038,31.622,32.146,32.511,32.834,33.120,33.374,33.573,33.730,33.866,33.981,34.079,34.170,NPgN
FOURSTONES 20KV,18.592,18.274,17.999,17.758,17.683,17.672,17.771,17.935,18.141,18.372,18.651,19.001,19.398,19.931,20.405,20.844,21.293,21.718,22.298,22.806,23.147,23.443,23.670,23.865,23.977,24.060,24.112,24.148,24.130,24.066,23.991,23.903,23.805,23.701,NPgN
FYLANDS BRIDGE,20.314,19.929,19.673,19.476,19.370,19.349,19.441,19.611,19.854,20.145,20.498,20.929,21.416,21.975,22.484,22.966,23.460,23.936,24.537,25.085,25.501,25.884,26.214,26.521,26.763,26.983,27.180,27.365,27.482,27.573,27.657,27.731,27.800,27.865,NPgN
GALE LANE,13.125,12.900,12.802,12.744,12.747,12.820,13.023,13.295,13.614,13.971,14.386,14.878,15.423,16.076,16.672,17.234,17.801,18.344,19.034,19.658,20.126,20.551,20.913,21.245,21.496,21.722,21.924,22.111,22.259,22.383,22.496,22.599,22.694,22.785,NPgN
GARWOOD STREET,18.229,17.962,17.785,17.646,17.579,17.584,17.693,17.870,18.110,18.386,18.717,19.121,19.576,20.131,20.634,21.110,21.597,22.067,22.668,23.211,23.614,23.980,24.291,24.576,24.790,24.981,25.150,25.306,25.435,25.544,25.644,25.736,25.820,25.901,NPgN
GATESHEAD CENTRAL,14.149,15.453,15.258,15.086,14.955,14.855,14.776,14.707,14.632,14.572,14.530,14.508,14.504,14.534,14.557,14.579,14.607,14.636,14.695,14.747,14.775,14.797,14.812,14.827,14.829,14.840,14.862,14.884,14.901,14.915,14.928,14.940,14.952,14.964,NPgN
GATESHEAD EAST,8.397,8.750,8.614,8.493,8.392,8.310,8.231,8.160,8.098,8.043,7.996,7.956,7.923,7.896,7.871,7.848,7.828,7.812,7.803,7.795,7.785,7.776,7.767,7.760,7.752,7.746,7.740,7.735,7.731,7.727,7.724,7.721,7.719,7.717,NPgN
GOSFORTH 33/11KV,18.266,18.025,17.784,17.573,17.411,17.291,17.193,17.114,17.046,16.997,16.968,16.962,16.974,17.013,17.047,17.080,17.121,17.164,17.236,17.304,17.351,17.395,17.433,17.471,17.499,17.531,17.569,17.606,17.642,17.675,17.709,17.743,17.777,17.811,NPgN
GRANGETOWN,20.026,23.317,22.973,22.677,22.465,22.340,22.334,22.421,22.602,22.835,23.134,23.520,23.972,24.512,25.000,25.460,25.932,26.385,26.982,27.519,27.908,28.256,28.546,28.810,28.998,29.160,29.298,29.422,29.508,29.571,29.626,29.670,29.708,29.742,NPgN
GREATHAM,24.195,28.956,28.490,28.066,27.703,27.392,27.091,26.813,26.558,26.322,26.107,25.911,25.733,25.574,25.421,25.279,25.148,25.026,24.922,24.825,24.725,24.631,24.541,24.455,24.370,24.290,24.213,24.139,24.068,23.999,23.932,23.867,23.804,23.742,NPgN
GUISBOROUGH T1 T2,19.389,18.914,18.639,18.413,18.299,18.271,18.394,18.611,18.887,19.209,19.602,20.093,20.654,21.395,22.059,22.676,23.309,23.909,24.719,25.435,25.930,26.372,26.721,27.029,27.239,27.421,27.563,27.682,27.704,27.687,27.655,27.609,27.552,27.489,NPgN
HARLOW GREEN,15.866,15.586,15.494,15.447,15.477,15.603,15.922,16.356,16.877,17.455,18.125,18.924,19.813,20.926,21.942,22.893,23.858,24.782,25.968,27.032,27.806,28.498,29.071,29.589,29.958,30.285,30.575,30.834,31.042,31.207,31.352,31.476,31.585,31.685,NPgN
HARMIRE BRIDGE,14.610,14.252,14.056,13.890,13.819,13.812,13.942,14.119,14.277,14.468,14.718,15.051,15.440,16.023,16.541,17.017,17.506,17.966,18.608,19.168,19.536,19.862,20.108,20.317,20.468,20.611,20.718,20.805,20.841,20.844,20.835,20.811,20.777,20.738,NPgN
HARRATON,19.037,18.866,18.643,18.461,18.342,18.286,18.280,18.314,18.388,18.497,18.645,18.834,19.058,19.284,19.493,19.701,19.915,20.127,20.382,20.624,20.830,21.027,21.212,21.393,21.557,21.718,21.877,22.035,22.178,22.314,22.449,22.583,22.716,22.848,NPgN
HARROGATE 132/11KV,30.435,30.392,29.968,29.620,29.397,29.303,29.434,29.664,29.926,30.249,30.674,31.236,31.896,32.830,33.658,34.423,35.211,35.958,36.987,37.891,38.496,39.021,39.428,39.781,39.987,40.166,40.321,40.446,40.518,40.548,40.560,40.551,40.528,40.497,NPgN
HARROGATE WEST,14.401,14.116,13.855,13.625,13.445,13.314,13.246,13.206,13.174,13.162,13.181,13.239,13.327,13.491,13.632,13.761,13.899,14.030,14.238,14.417,14.519,14.603,14.659,14.702,14.707,14.708,14.706,14.697,14.677,14.647,14.613,14.574,14.532,14.489,NPgN
HARTMOOR 66/20KV,23.072,22.648,22.436,22.291,22.257,22.326,22.565,22.907,23.331,23.814,24.381,25.058,25.816,26.727,27.554,28.332,29.122,29.879,30.843,31.715,32.361,32.950,33.447,33.903,34.249,34.563,34.842,35.099,35.271,35.404,35.524,35.628,35.720,35.807,NPgN
HAWTHORN PIT,23.935,23.527,23.357,23.280,23.351,23.579,24.078,24.736,25.522,26.391,27.385,28.542,29.813,31.299,32.660,33.945,35.248,36.497,38.066,39.486,40.556,41.535,42.370,43.136,43.724,44.251,44.715,45.143,45.378,45.548,45.695,45.818,45.922,46.016,NPgN
HAXBY ROAD T2 T3,12.165,12.753,12.687,12.658,12.690,12.788,13.017,13.317,13.666,14.052,14.497,15.022,15.601,16.302,16.940,17.541,18.147,18.726,19.461,20.125,20.621,21.071,21.452,21.800,22.061,22.295,22.504,22.696,22.853,22.986,23.107,23.217,23.318,23.414,NPgN
HEBBURN,4.024,3.969,3.928,3.897,3.884,3.890,3.921,3.968,4.031,4.104,4.190,4.295,4.413,4.549,4.673,4.792,4.913,5.030,5.177,5.311,5.413,5.508,5.590,5.666,5.727,5.782,5.834,5.882,5.923,5.959,5.994,6.026,6.057,6.087,NPgN
HEBBURN WEST,2.564,2.815,2.784,2.757,2.739,2.728,2.722,2.720,2.722,2.727,2.737,2.751,2.768,2.785,2.801,2.817,2.834,2.852,2.873,2.893,2.911,2.928,2.945,2.961,2.977,2.992,3.008,3.024,3.038,3.052,3.066,3.080,3.094,3.108,NPgN
HEDWORTH,11.345,15.049,14.984,14.954,14.982,15.084,15.322,15.638,16.019,16.442,16.929,17.505,18.142,18.898,19.588,20.239,20.899,21.534,22.330,23.049,23.588,24.076,24.491,24.871,25.157,25.414,25.644,25.855,26.032,26.181,26.318,26.441,26.555,26.663,NPgN
HEIGHINGTON,16.002,17.664,17.281,16.925,16.606,16.320,16.040,15.776,15.528,15.294,15.073,14.866,14.671,14.489,14.315,14.150,13.995,13.847,13.710,13.579,13.453,13.332,13.217,13.107,13.002,12.900,12.803,12.709,12.618,12.530,12.445,12.362,12.280,12.200,NPgN
